Rk_x,player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_y,Player,Tm,2024-2025,2025-2026,2026-2027,2027-2028,2028-2029,2029-2030,Guaranteed
225,Clint Capela,30,ATL,C,55,41,21.4,4.0,7.1,.559,0.0,0.0,.000,4.0,7.1,.560,.559,0.9,1.8,.536,3.2,5.4,8.5,1.1,0.6,1.0,0.9,1.9,8.9,79,Clint Capela,ATL,"$22,265,280",,,,,,"$22,265,280"
226,Al Horford,38,BOS,C,57,40,27.7,3.2,7.6,.422,1.9,5.2,.360,1.3,2.4,.555,.545,0.6,0.7,.895,1.3,4.7,6.1,2.1,0.6,0.9,0.8,1.4,8.9,169,Al Horford,BOS,"$9,500,000",,,,,,"$9,500,000"
229,Chris Paul,39,SAS,PG,76,76,28.0,3.0,7.0,.428,1.8,4.6,.383,1.3,2.5,.511,.552,1.0,1.1,.940,0.4,3.2,3.6,7.6,1.3,0.3,1.6,1.8,8.8,159,Chris Paul,SAS,"$10,460,000",,,,,,"$10,460,000"
232,Oshae Brissett,26,PHI,SF,6,2,23.7,3.2,6.5,.487,1.0,3.0,.333,2.2,3.5,.619,.564,1.3,2.3,.571,1.2,2.5,3.7,0.7,0.7,0.5,1.3,2.3,8.7,,,,,,,,,,
233,Tyrese Martin,25,BRK,SG,57,10,21.8,3.1,7.6,.406,1.7,4.7,.361,1.4,3.0,.476,.516,0.8,1.0,.786,1.0,2.7,3.7,2.0,0.6,0.1,1.1,1.3,8.7,,,,,,,,,,
239,Larry Nance Jr.,32,ATL,PF,24,3,19.3,3.3,6.5,.516,1.4,3.2,.447,1.9,3.3,.582,.626,0.4,0.5,.692,1.0,3.3,4.3,1.6,0.8,0.5,0.7,1.5,8.5,149,Larry Nance Jr.,ATL,"$11,205,000",,,,,,"$11,205,000"
242,Jaylen Nowell,25,NOP,SG,8,0,21.0,3.3,9.1,.356,1.0,3.4,.296,2.3,5.8,.391,.411,0.9,1.4,.636,0.8,1.8,2.5,2.3,0.1,0.5,1.0,1.1,8.4,475,Jaylen Nowell,NOP,"$446,743",,,,,,"$278,782"
242,Jaylen Nowell,25,NOP,SG,8,0,21.0,3.3,9.1,.356,1.0,3.4,.296,2.3,5.8,.391,.411,0.9,1.4,.636,0.8,1.8,2.5,2.3,0.1,0.5,1.0,1.1,8.4,479,Jaylen Nowell,WAS,"$446,743",,,,,,"$167,961"
246,Bruce Brown,28,2TM,PG,38,9,22.2,3.1,7.4,.423,0.7,2.1,.333,2.4,5.3,.458,.470,1.3,1.6,.833,1.0,3.0,4.0,1.9,0.9,0.2,1.0,1.8,8.3,73,Bruce Brown,NOP,"$23,000,000",,,,,,"$23,000,000"
246,Bruce Brown,28,TOR,PG,18,0,19.6,3.2,7.3,.435,0.6,2.0,.306,2.6,5.3,.484,.477,1.4,1.6,.897,0.9,2.8,3.8,1.6,0.9,0.2,1.1,1.4,8.4,73,Bruce Brown,NOP,"$23,000,000",,,,,,"$23,000,000"
246,Bruce Brown,28,NOP,PG,20,9,24.5,3.1,7.5,.413,0.8,2.1,.357,2.4,5.4,.435,.463,1.2,1.6,.774,1.1,3.1,4.2,2.3,0.9,0.3,1.0,2.1,8.2,73,Bruce Brown,NOP,"$23,000,000",,,,,,"$23,000,000"
251,Brandon Williams,25,DAL,PG,31,2,14.8,2.9,5.7,.511,0.7,1.9,.379,2.2,3.9,.575,.573,1.7,2.0,.857,0.4,1.4,1.7,2.4,0.7,0.1,1.1,0.9,8.3,,,,,,,,,,
254,Taurean Prince,30,MIL,SF,74,67,27.0,2.9,6.4,.460,1.9,4.2,.450,1.1,2.2,.479,.607,0.4,0.5,.846,0.4,3.2,3.6,2.0,0.9,0.2,1.1,2.0,8.2,388,Taurean Prince,MIL,"$2,087,519",,,,,,"$2,087,519"
255,Tristan Vukcevic,21,WAS,C,31,1,13.2,3.0,6.3,.480,0.9,2.8,.337,2.1,3.5,.591,.554,1.2,1.6,.755,0.7,2.8,3.5,1.0,0.4,0.6,0.9,1.4,8.2,,,,,,,,,,
259,A.J. Lawson,24,TOR,SG,20,2,17.1,2.8,7.0,.400,1.3,4.0,.329,1.5,3.1,.492,.493,1.2,1.8,.639,0.7,2.5,3.2,0.9,0.3,0.2,0.4,1.6,8.1,,,,,,,,,,
261,Tyson Etienne,25,BRK,PG,1,0,10.0,3.0,7.0,.429,2.0,5.0,.400,1.0,2.0,.500,.571,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,,,,,,,,,,
262,Daeqwon Plowden,26,ATL,SG,3,0,11.3,2.7,3.3,.800,2.0,2.7,.750,0.7,0.7,1.000,1.100,0.7,0.7,1.000,1.0,0.7,1.7,0.0,0.0,0.0,0.3,1.7,8.0,,,,,,,,,,
263,Day'Ron Sharpe,23,BRK,C,50,2,18.1,3.3,6.3,.521,0.2,0.9,.244,3.1,5.4,.566,.538,1.1,1.5,.757,3.0,3.6,6.6,1.8,0.8,0.8,1.3,2.3,7.9,275,Day'Ron Sharpe,BRK,"$3,989,122",,,,,,"$3,989,122"
264,Jalen Hood-Schifino,21,2TM,SG,10,0,19.4,2.6,6.2,.419,1.0,3.1,.323,1.6,3.1,.516,.500,1.6,1.9,.842,0.2,1.2,1.4,2.2,0.4,0.7,1.4,1.4,7.8,278,Jalen Hood-Schifino,UTA,"$3,879,840",,,,,,"$3,879,840"
264,Jalen Hood-Schifino,21,LAL,SG,2,0,7.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,1.0,1.0,1.000,0.5,0.0,0.5,0.5,0.0,0.5,0.5,1.5,2.0,278,Jalen Hood-Schifino,UTA,"$3,879,840",,,,,,"$3,879,840"
264,Jalen Hood-Schifino,21,PHI,SG,8,0,22.5,3.1,7.6,.410,1.3,3.9,.323,1.9,3.8,.500,.492,1.8,2.1,.824,0.1,1.5,1.6,2.6,0.5,0.8,1.6,1.4,9.3,278,Jalen Hood-Schifino,UTA,"$3,879,840",,,,,,"$3,879,840"
